,Week 1 spread,Week 1 score,Week 1 diff,Week 1 spreadscore,Week 2 spread
Arizona Cardinals,7,16,-4,3,10.5
Atlanta Falcons,-3.5,24,14,10.5,5.5
Baltimore Ravens,-9.5,25,16,6.5,-8.5
Buffalo Bills,-2.5,16,-6,-8.5,-5.5
Carolina Panthers,3.5,10,-14,-10.5,4
Chicago Bears,-1.5,20,-18,-19.5,11.5
Cincinnati Bengals,-2,3,-21,-23,-7.5
Cleveland Browns,2,24,21,23,-4.5
Dallas Cowboys,-3,40,40,37,-10.5
Denver Broncos,-3,16,-1,-4,5.5
Detroit Lions,4,21,1,5,-5.5
Green Bay Packers,1.5,38,18,19.5,-1
Houston Texans,9.5,9,-16,-6.5,7
Indianapolis Colts,4.5,21,-10,-5.5,8.5
Jacksonville Jaguars,-4.5,31,10,5.5,-7
Kansas City Chiefs,-4,20,-1,-5,-11.5
Las Vegas Raiders,3,17,1,4,1.5
Los Angeles Chargers,-3,34,-2,-5,-1.5
Los Angeles Rams,4.5,30,17,21.5,7.5
Miami Dolphins,3,36,2,5,-5.5
Minnesota Vikings,-4.5,17,-3,-7.5,1.5
New England Patriots,3.5,20,-5,-1.5,-2
New Orleans Saints,-3,16,1,-2,1
New York Giants,2.5,0,-40,-37.5,9.5
New York Jets,3,22,6,9,2
Philadelphia Eagles,-3.5,25,5,1.5,-7
Pittsburgh Steelers,2,7,-23,-21,-1.5
San Francisco 49ers,-2,30,23,21,-9.5
Seattle Seahawks,-4.5,13,-17,-21.5,-4
Tampa Bay Buccaneers,4.5,20,3,7.5,7
Tennessee Titans,3,15,-1,2,4.5
Washington Commanders,-7,20,4,-3,5.5
